sampleType,timestamp,distance,power,accelX,accelY,accelZ,boatAccelX,boatAccelY,boatAccelZ,gyroX,gyroY,gyroZ,latitude,longitude,speed,gpsHeading,gpsAltitude,gpsAccuracy,spm,strokeCount,driveTime,recoveryTime,driveRatio,catchDuration,gravityX,gravityY,gravityZ,detectorMode,detectorAboveThreshold,detectorForcedStroke,detectorResumingFromGap,detectorRejectionReason,detectorPeakProminence,detectorTimeAboveThresholdMs,detectorTimeSinceLastStrokeMs,detectorSmoothedMagnitude,detectorGravityAlpha,detectorGravityShiftG,detectorConfidence
sensor,1768475762829,2579.865353553804,0,-0.25839099287986755,0.7594795823097229,0.5124074220657349,-0.25839099287986755,0.7594795823097229,0.5124074220657349,0,0,0,10.0165784,9.9884167,2.51168560725159,302,988.9,1.7000000476837158,,0,0.103,0.9089999999999999,0.10177865612648221,0.13,-0.12405661443646206,0.8855599570122534,0.44761618482757487,classic,0,0,0,none,0,0,0,1.3752124061019904,-0.12405661443646206,0.19627574767861136,0
sensor,1768475764732,2584.9264744672523,0,0.030086729675531387,0.9696430563926697,0.28225234150886536,0.030086729675531387,0.9696430563926697,0.28225234150886536,0,0,0,10.0166051,9.9883792,2.501016933050792,305,988.7,1.6829999685287476,,0,0.442,0.7030000000000001,0.3860262008733624,0,-0.12495352120572562,0.8830466871420938,0.45464845450291236,classic,0,0,0,none,0,0,0,1.3581962158652985,-0.12495352120572562,0.2487448968778984,0
sensor,1768475766761,2589.849945045791,0,-0.2511560916900635,0.8493267297744751,0.5364676117897034,-0.2511560916900635,0.8493267297744751,0.5364676117897034,0,0,0,10.0166318,9.9883434,2.4943442860465157,307,989.2,1.6660000085830688,,0,0.434,0.6160000000000001,0.41333333333333333,0.115,-0.13427542619513536,0.8775717184574031,0.459159577336026,classic,0,0,0,none,0,0,0,1.3455536792225922,-0.13427542619513536,0.14367079903662683,0
sensor,1768475768746,2594.904548580027,0,-0.13418956100940704,0.8543131947517395,0.5333166718482971,-0.13418956100940704,0.8543131947517395,0.5333166718482971,0,0,0,10.0166584,9.9883059,2.4903651920020535,308,989.9,1.6660000085830688,,0,0.583,0.49999999999999994,0.5383194829178208,0.059,-0.07995212296952446,0.907108520825344,0.3333012513404043,classic,0,0,0,none,0,0,0,2.5381540471127435,-0.07995212296952446,0.21493259380465424,0
sensor,1768475770730,2599.944261949608,0,-0.24779103696346283,0.8766449689865112,0.3806651532649994,-0.24779103696346283,0.8766449689865112,0.3806651532649994,0,0,0,10.0166868,9.9882701,2.487621907164094,304,990.3000000000001,1.6829999685287476,,0,0.29,0.754,0.27777777777777773,0.117,0.00070583625644836,0.964363563671723,0.2344632010696306,classic,0,0,0,none,0,0,0,2.656428462184751,0.00070583625644836,0.3028783889306202,0
sensor,1768475772886,2604.8968608679465,0,-0.05272442847490311,0.9574064612388611,0.331106960773468,-0.05272442847490311,0.9574064612388611,0.331106960773468,0,0,0,10.0167118,9.9882327,2.4897732402950115,304,989.9,1.7000000476837158,,0,0.981,0.18299999999999994,0.8427835051546392,0,-0.0259094244121967,0.9471153777634083,0.2828246009477723,classic,0,0,0,none,0,0,0,2.183614394957385,-0.0259094244121967,0.056461817024581175,0
sensor,1768475774745,2609.2033039218263,0,-0.11146008223295212,0.8834821581840515,0.5595183372497559,-0.11146008223295212,0.8834821581840515,0.5595183372497559,0,0,0,10.0167334,9.9882000,2.488259290672715,304,990,1.6660000085830688,,0,0.137,0.947,0.12638376383763839,0.051,-0.04527113030286443,0.9356544894035276,0.3114261431489745,classic,0,0,0,none,0,0,0,2.450766524855184,-0.04527113030286443,0.26333320419407485,0
sensor,1768475776761,2614.058273271398,0,-0.22688175737857819,0.7770237922668457,0.5216919183731079,-0.22688175737857819,0.7770237922668457,0.5216919183731079,0,0,0,10.0167568,9.9881626,2.483241898752892,307,989.6,1.6330000162124634,,0,0.914,0.23299999999999998,0.7968613775065388,0,-0.06278063995647494,0.9240371873795847,0.3407145726938966,classic,0,0,0,none,0,0,0,3.1588309693673327,-0.06278063995647494,0.28655540807983454,0
sensor,1768475778742,2618.6126812642115,0,-0.1662188470363617,0.8632918000221252,0.49547502398490906,-0.1662188470363617,0.8632918000221252,0.49547502398490906,0,0,0,10.0167801,9.9881284,2.4770201000620164,305,989.6,1.6160000562667847,,0,0.468,0.6970000000000001,0.4017167381974249,0,-0.06795688261759397,0.918373051129302,0.35787899993395395,classic,0,0,0,none,0,0,0,2.222276869864176,-0.06795688261759397,0.17871942118555365,0
sensor,1768475780765,2623.7801719184445,0,-0.11532990634441376,0.8419848084449768,0.563082218170166,-0.11532990634441376,0.8419848084449768,0.563082218170166,0,0,0,10.0168084,9.9880910,2.475474389842541,306,989.5,1.6330000162124634,,0,0.408,0.744,0.3541666666666667,0,-0.08418344933416486,0.9033493519776494,0.38473082620305554,classic,0,0,0,none,0,0,0,1.5898135576474293,-0.08418344933416486,0.19212791713039926,0
